#   Time (s)     Flux (ppm)    Error (ppm)
 423704.5316     -602.48376      50.65662
 425469.9691     -276.14832      50.66742
 427235.3979      -40.53116      50.66819
 429000.8440      382.30420      50.68009
 430766.2815      511.40784      50.67189
 432531.7277       87.73804      50.67168
 434297.1566     -216.18605      50.66436
 436062.5941     -464.43939      50.66515
 437828.0403      121.23585      50.67519
 439593.4693      382.18500      50.68457
 441358.9069        6.43730      50.67693
 443124.3532     -496.38748      50.66253
 444889.7822     -373.36349      50.66038
 446655.2199       19.31190      50.66525
 448420.6662      138.16357      50.67770
 450186.1040     -244.20023      50.66153
 451951.5417     -577.56903      50.65580
 453716.9794     -218.86826      50.66520
 455482.4172      344.39563      50.67955
 457247.8550      254.51184      50.67437
 459013.2928      -88.09566      50.66586
 460778.7307      140.42854      50.67628
 462544.1772      252.00844      50.68052
 464309.6064      175.11844      50.67391
 466075.0529     -224.47110      50.66098
 467840.4909      -49.41225      50.66901
 469605.9201      170.35007      50.67562
 471371.3668      237.94174      50.67846
 473136.7961      203.01343      50.67651
 474902.2341     -389.69516      50.66242
 476667.6807     -145.25652      50.67401
 478433.1188      130.17654      50.67589
 480198.5482      192.88063      50.66648
 481963.9949     -201.40410      50.66436
 483729.4244     -407.45734      50.66311
 485494.8711     -285.44666      50.66589
 487260.3092     -198.00662      50.66444
 489025.7388     -186.32413      50.66677
 490791.1856     -353.39594      50.66275
 492556.6238     -395.77484      50.65890
 494322.0620     -458.53854      50.65577
 496087.5002     -250.10109      50.66651
 497852.9385     -139.77289      50.66388
 499618.3854       83.56571      50.67137
 501383.8150      361.32336      50.67120
 503149.2534      512.48071      50.68100
 504914.7003      476.00269      50.67897
 506680.1387     -154.67406      50.66383
 508445.5684     -653.14771      50.66133
 510211.0155     -339.98489      50.65673
 511976.4539       29.08707      50.66859
 513741.8837     -324.07047      50.66253
 515507.3308     -363.40952      50.66203
 517272.7692     -126.24264      50.66576
 519038.2164      226.73607      50.68034
 520803.6462      343.32275      50.68131
 522569.0848      130.41496      50.68211
 524334.5320      329.85211      50.67968
 526099.9619      445.96194      50.68788
 527865.4005      620.72278      50.69040
 529630.8391      155.44891      50.67673
 531396.2778     -321.44785      50.66665
 533161.7250     -360.84653      50.66926
 534927.1551     -140.72656      50.67038
 536692.5938      231.86206      50.68568
 538458.0411       82.61204      50.68629
 540223.4712     -276.80396      50.66893
 541988.9100      -95.54625      50.67907
 543754.3574     -373.48270      50.66697
 545519.7876     -379.44318      50.67245
 547285.2264      -53.88260      50.67355
 549050.6739      105.38101      50.67432
 550816.1127      331.99786      50.68292
 552581.5516      359.65442      50.67955
 554346.9905       41.84246      50.67334
 556112.4294      341.53461      50.68753
 557877.8683      799.05988      50.69619
 559643.3073      734.68683      50.69408
 561408.7463      182.74783      50.67997
 563174.1939     -208.67586      50.67482
 564939.6243     -492.81122      50.67001
 566705.0719     -595.86761      50.66640
 568470.5110     -153.36275      50.67191
 570235.9414      170.58850      50.67493
 572001.3892      186.20491      50.67912
 573766.8283      -39.27946      50.67477
 575532.2588      112.77199      50.67365
 577297.7066       -2.08616      50.67932
 579063.1458      -98.52647      50.67820
 580828.5763      -92.02957      50.67462
 582594.0242      -40.82918      50.67332
 584359.4634       39.21986      50.67464
 586124.9027     -448.82297      50.66611
 587890.3419     -341.95184      50.67191
 589655.7812     -183.10547      50.67201
 591421.2205     -224.05386      50.67208
 593186.6599     -144.24324      50.67701
 594952.0992       86.54594      50.68067
 596717.5386      480.77106      50.68637
 598482.9780      235.43835      50.67758
 600248.4261      -70.33348      50.67859
 602013.8569     -398.81467      50.67561
 603779.2963     -462.17441      50.67088
 605544.7444     -622.98773      50.66494
 607310.1753     -216.30525      50.67329
 609075.6148      -10.55002      50.68161
 612606.5026      -87.55922      50.67568
 614371.9335      296.83112      50.68499
 616137.3817      135.66017      50.68327
