#   Time (s)     Flux (ppm)    Error (ppm)
1018667.7235      -50.12751      51.13938
1020433.1850     -308.27521      51.13516
1022198.6551      -21.81530      51.14805
1023964.1080       68.42613      51.13932
1025729.5696      171.89980      51.14165
1027495.0398       20.74242      51.15754
1029260.5014      321.98428      51.15321
1031025.9630       48.75660      51.14593
1032791.4247     -352.08463      51.15272
1034556.8777     -139.17685      51.14743
1036322.3480      371.57535      51.15897
1038087.8097      312.92438      51.15995
1039853.2628       44.46507      51.15237
1041618.7332       95.24822      51.15080
1043384.1950     -113.60645      51.14276
1045149.6568      -42.67693      51.15078
1046915.1187     -293.61249      51.15352
1048680.5805      -57.39927      51.14492
1050446.0510     -126.24264      51.14734
1052211.5043       58.41255      51.14590
1053976.9662      186.80096      51.16553
1055742.4368       94.05613      51.15002
1057507.8901     -116.05025      51.14279
1059273.3521      -63.47895      51.15229
1061038.8228      123.62003      51.16010
1062804.2762       54.24023      51.14861
1064569.7469     -186.86057      51.14714
1066335.2089     -304.52014      51.13107
1068100.6624     -192.70181      51.14633
1069866.1332       63.30013      51.15350
1071631.5953      251.05476      51.15610
1073397.0575      249.86267      51.16239
1075162.5197      266.07513      51.15689
1076927.9819       51.37920      51.15595
1078693.4528      321.38824      51.16148
1080458.9064      249.86267      51.15725
1082224.3687     -182.27100      51.15245
1083989.8397      -54.12102      51.15609
1085755.2933      163.19751      51.15404
1087520.7557      -81.53915      51.15660
1089286.2181     -144.77968      51.15238
1091051.6805       96.08269      51.16085
1092817.1429      186.44333      51.15184
1094582.6140      226.25923      51.16194
1096348.0678      201.58292      51.15006
1098113.5390      -92.92365      51.15653
1099879.0015      137.20990      51.15642
1101644.4554      320.43457      51.15445
1103409.9266      -90.95669      51.15355
1105175.3892     -287.29437      51.14488
1106940.8432       11.32488      51.14382
1108706.3144      429.03424      51.15924
1110471.7771       88.21487      51.16272
1112237.2484       59.72385      51.14729
1114002.7025      118.73245      51.13994
1115768.1652     -158.48875      51.13898
1117533.6366     -300.76505      51.14801
1119299.0907       90.36064      51.14982
1121064.5535       19.78874      51.15993
1122830.0250     -115.93103      51.15444
1126360.9420       89.76460      51.15937
1128126.4135     -310.42099      51.13967
1129891.8678     -312.80518      51.14627
1131657.3394      -46.13400      51.15277
1133422.8023       95.00980      51.16038
1135188.2653     -118.49403      51.14865
1136953.7283     -139.17685      51.14525
1138719.1913       28.25260      51.16265
1140484.6544      344.39563      51.16754
1142250.1175      287.65201      51.17823
1144015.5805       92.98325      51.15716
1145781.0437      -46.67044      51.16491
1147546.5068     -257.61127      51.16013
1149311.9700     -508.07001      51.15381
1151077.4418     -476.65836      51.15873
1152842.8964     -521.48102      51.15299
1154608.3596     -748.99194      51.13510
1156373.8315     -477.31400      51.14289
1158139.2861      -61.75041      51.15422
1159904.7494      174.28398      51.16164
1161670.2214       57.81651      51.15140
1163435.6761      -32.42493      51.15968
1165201.1481     -409.96075      51.13734
1166966.6115     -261.36636      51.16210
1168732.0662     -166.71419      51.14832
1170497.5383     -478.56570      51.14152
1172263.0018     -169.99245      51.15090
1174028.4566       -5.84126      51.15889
1175793.9288     -311.73230      51.15178
1177559.3923     -183.82072      51.16544
1179324.8645       70.33348      51.14762
1181090.3194     -384.39035      51.14815
1182855.7830     -454.42581      51.14444
1184621.2553      103.23524      51.15638
1186386.7103      369.19116      51.18282
1188152.1739       54.83627      51.16395
1189917.6463       -1.01328      51.15796
1191683.1100      -46.78965      51.16405
1193448.5651      -93.46008      51.15509
1195214.0375      153.54156      51.17311
1196979.5013      -84.51939      51.15248
1198744.9651       58.65097      51.15905
1200510.4289        4.52995      51.16204
1202275.8841      -35.40516      51.15142
1204041.3566       46.73004      51.15425
1205806.8205      -18.83507      51.16322
1207572.2758     -226.79567      51.15567
1209337.7484     -324.24927      51.14982
1211103.2123     -350.23688      51.15315
1212868.6849      -73.25410      51.15736
1214634.1403      232.93495      51.15701
1216399.6043      -92.56601      51.15327
1218165.0770        6.55651      51.15982
1219930.5325       94.05613      51.17344
1221695.9966      171.78058      51.17066
1223461.4693       47.08767      51.15739
1225226.9248     -294.56616      51.15861
1226992.3890     -347.01825      51.15035
1228757.8619      -27.65656      51.16299
1230523.3174     -130.77258      51.15143
1232288.7903      -18.06021      51.15692
1234054.2546      400.06638      51.17962
1235819.7188      205.63602      51.17004
1237585.1832      -44.88230      51.16243
1239350.6475     -345.05130      51.15172
1241116.1118     -496.02985      51.14146
1242881.5762     -134.40848      51.15852
1244647.0406      415.68280      51.17730
1246412.5137      141.50143      51.14441
1248177.9781     -250.75674      51.15854
1249943.4340      -93.46008      51.15582
1251708.9071      245.80956      51.17828
1253474.3629      225.90161      51.16624
1255239.8275      251.88922      51.16787
1257005.3007      565.40967      51.18702
1258770.7566      336.40863      51.16682
1260536.2212      -95.00980      51.15623
1262301.6945      206.58969      51.16637
1264067.1505      500.67902      51.18087
1265832.6238       45.89558      51.16964
1267598.0885     -113.72566      51.15081
1269363.5446      180.84048      51.17539
1271129.0180      105.02338      51.16943
1272894.4828     -263.15451      51.16401
1274659.9389      -44.22665      51.15463
1276425.4124       60.67753      51.15727
1278190.8772       53.88260      51.16831
1279956.3507        2.98023      51.16924
1281721.8069      346.77982      51.16868
1283487.2718      813.72260      51.18180
1285252.7454      525.59375      51.17910
1287018.2017      345.11090      51.17339
1288783.6667      353.81317      51.17310
1290549.1403      230.55077      51.17033
1292314.5967      364.30359      51.18059
1294080.0617      623.94141      51.18259
1295845.5354      164.27040      51.17185
1297611.0005      -28.66983      51.16191
1299376.4656      -66.16116      51.15927
1301141.9307     -277.10199      51.15363
1302907.3959     -331.87866      51.15282
1304672.8697      205.03998      51.17271
1306438.3263      269.17456      51.17252
1308203.7915      108.48045      51.17295
1309969.2568      -31.29244      51.16986
1311734.7220      -44.46507      51.16085
1313500.1960      223.99426      51.16824
1315265.6526      318.05038      51.17349
1317031.1180      214.21909      51.17158
1318796.5920      -31.82888      51.15912
1320562.0487     -219.22589      51.15543
1322327.5141     -318.16959      51.15387
1324092.9882     -277.34042      51.15429
1325858.4450      192.64221      51.17674
1327623.9191      -48.75660      51.16384
1329389.3846       44.46507      51.17612
1331154.8415      315.18936      51.17673
1332920.3157      130.17654      51.18003
1334685.7812       33.97465      51.17111
1336451.2468      175.71449      51.17706
1338216.7124       62.34646      51.16685
1339982.1781      -16.92772      51.17284
1341747.6437     -116.28867      51.16561
1343513.1094      329.37527      51.17176
1345278.5751       20.38479      51.16523
1347044.0495     -198.36426      51.15849
1348809.5152       95.96348      51.17350
1350574.9724      251.29318      51.18024
1352340.4468     -180.66168      51.15975
1354105.9126     -470.57867      51.15897
1355871.3698     -127.85196      51.17387
1357636.8443     -287.29437      51.15800
1359402.3102     -656.42596      51.15519
1361167.7761     -350.35611      51.15337
1362933.2421       -8.40425      51.17199
1366464.1740     -334.50128      51.16015
1368229.6400      -24.79553      51.17408
1369995.0974       47.80293      51.17976
1371760.5721      177.86026      51.17656
1373526.0381     -126.00422      51.17247
1375291.4956       -5.42402      51.17844
1377056.9703      323.53400      51.17886
1378822.4365      249.62425      51.18252
1380587.9113      105.85785      51.18084
1384118.8350     -242.35248      51.16323
1385884.3099     -105.73864      51.16191
1387649.7675       44.46507      51.17927
1389415.2338      -23.66304      51.17786
1391180.7087     -424.68311      51.16043
1392946.1664     -213.38463      51.15914
1394711.6414      -77.42644      51.17369
1396477.1078      -37.72974      51.16283
1398242.5741      -79.63181      51.17478
1400008.0406      123.73924      51.17766
1401773.5070      217.67616      51.17846
1403538.9735        2.26498      51.16887
1405304.4399       36.23962      51.17567
1407069.9064      191.92696      51.18315
1408835.3730      264.28699      51.18012
1410600.8482     -102.46039      51.17013
1412366.3061     -306.42749      51.16263
1414131.7813      -70.21427      51.17506
1415897.2479     -173.68793      51.16220
1417662.7059     -425.57715      51.14999
1419428.1813     -233.53101      51.15880
1421193.6393      -83.26768      51.18118
1422959.1060     -258.26694      51.15980
1424724.5814       95.60585      51.17040
1426490.0395      357.15103      51.18590
1428255.5149     -152.23026      51.17748
1430020.9817      -18.59665      51.16658
