#BJD - 2454833   Corrected Flux
2773.740553391   0.996836118  
2773.760985097   0.997161866  
2773.781416803   0.997057246  
2773.801848509   0.996835866  
2773.822280214   0.996800069  
2773.842711920   0.997108233  
2773.863143725   0.997246835  
2773.883575330   0.996863185  
2773.904007035   0.997071601  
2773.924438840   0.996775352  
2773.944870445   0.996605410  
2773.965302150   0.996847900  
2773.985733954   0.996853725  
2774.006165559   0.997160449  
2774.026597363   0.997139689  
2774.047029068   0.997015902  
2774.067460672   0.997050507  
2774.087892476   0.997635193  
2774.108324180   0.997498236  
2774.128755784   0.997500161  
2774.149187587   0.997584962  
2774.190050894   0.996956389  
2774.210482698   0.997088185  
2774.230914401   0.997152185  
2774.251346104   0.997231168  
2774.271777807   0.997730408  
2774.292209510   0.997464923  
2774.312641313   0.997019055  
2774.333073015   0.996977757  
2774.353504618   0.997450785  
2774.373936420   0.997632952  
2774.394368123   0.997493524  
2774.414799725   0.997707518  
2774.435231527   0.997584142  
2774.455663229   0.997186845  
2774.476094831   0.996855985  
2774.496526632   0.997111700  
2774.516958234   0.997021368  
2774.537389935   0.996908140  
2774.557821737   0.997047151  
2774.578253338   0.997516462  
2774.598685139   0.997144029  
2774.619116840   0.997463613  
2774.639548441   0.997146593  
2774.700843644   0.996755082  
2774.721275344   0.997072328  
2774.741707044   0.996662262  
2774.762138745   0.996926585  
2774.782570445   0.996828767  
2774.803002145   0.996771685  
2774.823433845   0.996795908  
2774.843865645   0.997063561  
2774.864297244   0.997155930  
2774.884729044   0.996735247  
2774.905160744   0.997063421  
2774.925592343   0.997127365  
2774.946024142   0.996823546  
2774.966455841   0.997533484  
2774.986887441   0.997092080  
2775.007319239   0.997484072  
2775.027750938   0.997040296  
2775.048182537   0.996795708  
2775.068614336   0.996924655  
2775.089046034   0.996951563  
2775.109477633   0.997062962  
2775.129909431   0.996927211  
2775.150341129   0.997074730  
2775.170772927   0.997543725  
2775.191204525   0.997144320  
2775.211636223   0.997370831  
2775.232067921   0.997242760  
2775.252499619   0.997757145  
2775.272931316   0.997230632  
2775.293363014   0.997285302  
2775.313794711   0.997192687  
2775.334226408   0.997313942  
2775.354658106   0.997424081  
2775.375089803   0.996905921  
2775.415953296   0.996440374  
2775.436384893   0.996280745  
2775.456816590   0.996327879  
2775.477248386   0.996722459  
2775.497679983   0.996799401  
2775.518111779   0.996946016  
2775.538543475   0.996542490  
2775.558975072   0.996813719  
2775.579406868   0.997154020  
2775.599838563   0.997166643  
2775.620270159   0.997457262  
2775.661133651   0.996978310  
2775.681565346   0.997346940  
2775.701997042   0.997500846  
2775.722428737   0.997629924  
2775.742860432   0.997110982  
2775.763292127   0.997435444  
2775.783723822   0.997342780  
2775.804155617   0.997280577  
2775.824587212   0.997334590  
2775.845018907   0.997335988  
2775.865450701   0.997829265  
2775.885882396   0.997454745  
2775.906313990   0.997152381  
2775.926745784   0.997185776  
2775.947177379   0.997276284  
2775.967609073   0.996927697  
2775.988040867   0.997146751  
2776.008472461   0.997087343  
2776.028904154   0.997168936  
2776.049335948   0.997073635  
2776.069767542   0.997458567  
2776.090199335   0.997405652  
2776.110631029   0.997395462  
2776.131062622   0.997483087  
2776.151494415   0.997329525  
2776.171926108   0.997464334  
2776.192357701   0.997288472  
2776.212789494   0.997250366  
2776.233221187   1.002485648  
2776.253652880   0.997426934  
2776.274084573   0.997555591  
2776.294516265   0.997806260  
2776.314947958   0.997637280  
2776.335379650   0.997321543  
2776.355811342   0.997339558  
2776.376243135   0.997760060  
2776.396674827   0.997233276  
2776.417106419   0.997450759  
2776.437538210   0.997242061  
2776.457969902   0.997426992  
2776.478401494   0.997395123  
2776.498833286   0.997112828  
2776.519264977   0.997613439  
2776.539696569   0.997219828  
2776.560128360   0.997214065  
2776.580560051   0.997564704  
2776.600991642   0.997408987  
2776.662286815   0.997492986  
2776.682718506   0.997403677  
2776.703150197   0.997171873  
