#   Time (s)     Flux (ppm)    Error (ppm)
 684993.1831     -311.49387      53.67637
 686758.6416      137.80594      53.68526
 688524.0828     -242.05446      53.67990
 690289.5412     -532.68671      53.67104
 692054.9911      -58.11453      53.67393
 693820.4410      -62.82330      53.68432
 695585.8909     -280.20145      53.67241
 697351.3408      271.43954      53.69415
 699116.7908      159.26361      53.69384
 700882.2407     -354.29001      53.67388
 702647.6907     -187.57582      53.67488
 704413.1407     -121.83189      53.68202
 706178.5908     -178.09868      53.67948
 707944.0408      -69.97585      53.68251
 709709.4995      329.97131      53.69091
 711474.9410     -105.38101      53.68377
 713240.3911     -357.44907      53.68023
 715005.8498     -338.55438      53.67848
 716771.2914     -351.19055      53.67344
 718536.7415     -374.67480      53.66946
 720302.2004      -54.83627      53.67533
 722067.6419      225.30556      53.68375
 723833.1008      378.37030      53.69077
 725598.5511      474.57217      53.69689
 727363.9927      102.75841      53.69207
 729129.4516      122.90478      53.68902
 730894.9019       87.14199      53.69506
 732660.3436     -257.07483      53.68316
 734425.8026     -293.61249      53.68172
 736191.2530     -272.45282      53.67622
 737956.7120     -405.01355      53.67726
 739722.1538     -447.27325      53.67159
 741487.6042     -393.98669      53.67522
 743253.0633      121.59348      53.69759
 745018.5052     -227.03409      53.68477
 746783.9557     -229.00104      53.68802
 748549.4148     -446.20038      53.68565
 750314.8654     -599.62274      53.67435
 752080.3073     -415.44437      53.67370
 753845.7665     -262.14124      53.68562
 755611.2171     -184.83400      53.69044
 757376.6677     -207.06653      53.68412
 759142.1184     -258.74377      53.68890
 760907.5604      -77.42644      53.68989
 762673.0197       -7.33137      53.69049
 764438.4704      275.01584      53.70102
 766203.9125      -57.16085      53.68436
 767969.3719      -61.21397      53.68793
 769734.8227       79.03576      53.69215
 771500.2821      209.21231      53.68671
 773265.7242       15.97404      53.69380
 775031.1751     -299.75177      53.68788
 776796.6346     -118.79205      53.68324
 778562.0768      156.52179      53.69548
 780327.5277       53.40576      53.68532
 782092.9872     -154.67406      53.68948
 783858.4295     -408.35141      53.68561
 785623.8805     -198.18544      53.68908
 787389.3401     -362.93268      53.68284
 789154.7824     -394.82117      53.68055
 790920.2421       14.30511      53.68638
 792685.6931     -155.50851      53.68497
 794451.1441     -523.50757      53.68209
 796216.5952     -403.04660      53.68428
 797982.0463     -218.68944      53.68614
 799747.4974     -379.68158      53.67704
 801512.9485      -96.32111      53.69418
 803278.3997      338.19675      53.70338
 805043.8595      194.07272      53.69106
 806809.3107      -86.66515      53.68473
 808574.7533      183.82072      53.68785
 810340.2131      330.20972      53.69736
 812105.6558      -64.79025      53.68938
 813871.1070       17.04693      53.69352
 815636.5670      -20.20597      53.68879
 817402.0096     -239.84909      53.68298
 819167.4610     -354.29001      53.67802
 820932.9210       78.32050      53.68425
 822698.3637       54.95548      53.69270
 824463.8238      -89.58578      53.68645
 826229.2752      198.12584      53.69255
 827994.7180      222.56375      53.69664
 829760.1781      616.66968      53.69831
 831525.6296      543.71356      53.70083
 833291.0724      357.38947      53.69431
 835056.5326      297.18875      53.69794
 836821.9841      286.22150      53.70201
 838587.4443      154.61444      53.68678
 840352.8873      -89.82420      53.68940
 842118.3389       96.44032      53.68172
 843883.7991       54.35944      53.68474
 845649.2421     -121.05704      53.69295
 847414.6938      -16.57009      53.69457
 849180.1541      541.44861      53.69975
 850945.5972      136.97147      53.68818
 852711.0489     -249.38583      53.68739
 854476.5093     -164.86646      53.68327
 856241.9611     -101.56631      53.68079
 858007.4128      -79.51260      53.68726
 859772.8647      -61.98883      53.68764
 861538.3165      404.59631      53.69893
 863303.7770      276.08871      53.69439
 865069.2202      153.42236      53.68433
 866834.6721       84.40018      53.68513
 868600.1240     -309.16928      53.68302
 870365.5759     -278.35370      53.68486
 872131.0365        1.19209      53.68340
 873896.4799     -108.71887      53.69118
 875661.9318     -196.21849      53.68717
 877427.3925     -258.62454      53.67455
 879192.8359     -176.48935      53.67462
 880958.2879      -25.09356      53.68908
 882723.7487     -232.16010      53.68354
 884489.1921     -222.62335      53.68118
 886254.6529     -415.68280      53.67783
 888020.1050     -333.07074      53.67736
 889785.5485       52.33288      53.68795
 891551.0093      293.01642      53.69030
 893316.4615       34.92832      53.68920
 895081.9138      -28.31221      53.69187
 896847.3660      149.84607      53.68942
 898612.8182       18.71586      53.69324
 900378.2705     -383.07904      53.68201
 902143.7228     -559.03198      53.67593
 903909.1751     -626.80243      53.67389
 905674.6361     -495.85104      53.66834
 907440.0885     -413.59662      53.68214
 909205.5322      113.12962      53.68637
 910970.9933      269.65143      53.69099
 912736.4457      -14.60314      53.68821
 914501.8895     -202.23856      53.68401
 916267.3506     -144.54126      53.68628
 918032.8031     -208.91428      53.68682
 919798.2556     -314.53372      53.68159
 921563.7081     -287.59241      53.68364
 925094.6132     -582.81421      53.66516
 926860.0658     -203.25183      53.69048
 928625.5098     -222.08691      53.68312
 930390.9711     -480.41345      53.68119
 932156.4237     -504.43411      53.66608
 933921.8677     -192.46339      53.68195
 935687.3291      125.40817      53.68862
 937452.7818      159.38281      53.68753
 939218.2432     -102.46039      53.68670
 942749.1400      -76.53236      53.68761
 944514.6015      265.47910      53.69431
 946280.0456     -138.52119      53.68099
 948045.4985       25.86842      53.68499
 949810.9600     -164.62802      53.69302
 951576.4042     -367.64145      53.67782
 953341.8657     -264.76382      53.67448
 955107.3187      114.20250      53.68995
 956872.7716      228.28580      53.69603
 958638.2246      111.57990      53.68607
 960403.6775      203.72867      53.69409
 962169.1305      409.84155      53.68526
 963934.5835      182.62863      53.68601
 965700.0366     -235.14032      53.68172
 967465.4897     -218.57024      53.68193
 969230.9514      158.78677      53.69336
 970996.3958      169.63483      53.68586
 972761.8576      171.78058      53.68704
 974527.3107      407.57657      53.70027
 976292.7553       59.72385      53.68568
 978058.2171     -403.28503      53.67839
 979823.6616     -239.01462      53.68701
 981589.1149      -57.57809      53.68014
 983354.5768     -225.06714      53.67727
 985120.0214     -413.29861      53.66531
 986885.4833     -468.19449      53.66287
 988650.9366     -275.19464      53.67245
 990416.3813     -310.95743      53.66915
 992181.8433     -410.07996      53.67437
 993947.2967     -136.97147      53.68286
 995712.7414     -157.59468      53.66821
 997478.2035     -150.68054      53.66162
 999243.6569      115.75222      53.67477
1001009.1103      338.31598      53.68682
1002774.5638      125.64659      53.68277
1004540.0173       57.57809      53.67742
1006305.4794      458.71735      53.68963
1008070.9243      711.32184      53.70576
1009836.3779      165.34329      53.67475
1011601.8401     -146.44861      53.67098
1013367.2937      380.75446      53.67445
1015132.7387      -16.33167      53.67985
1018663.6546       92.38720      53.67919
1020429.1083       10.49042      53.67900
1022194.5620       34.92832      53.68532
1023960.0157     -193.47668      53.67690
1025725.4781     -157.05824      53.67318
1027490.9232       43.39218      53.67590
1029256.3770     -337.06427      53.65890
1031021.8394      -42.85574      53.67697
1032787.2846      -92.14878      53.67144
1034552.7385     -170.46928      53.67949
1036318.1923      145.79297      53.68454
1038083.6462      323.53400      53.68078
1039849.1087      420.45117      53.69012
1041614.5540      610.35156      53.68386
1043380.0080      443.93539      53.68761
1045145.4706      198.96030      53.67221
1046910.9159      164.03198      53.68573
1048676.3699      -71.70439      53.68678
1050441.8326      -45.06111      53.67708
1052207.2780      116.94431      53.68214
1053972.7407        6.55651      53.66983
1055738.1948     -217.73576      53.67826
1057503.6489      -14.48393      53.67596
